year,state,state_po,county_name,county_fips,Total Votes,Republican,Democrat,Repub_%,Dem_%,Majority
2020,IDAHO,ID,BOUNDARY,16021,6313,4937,1220,0.78204,0.19325,Republican
2020,IDAHO,ID,BUTTE,16023,1415,1202,188,0.84947,0.13286,Republican
2020,IDAHO,ID,CAMAS,16025,754,507,149,0.67241,0.19761,Republican
2020,IDAHO,ID,CANYON,16027,90410,61759,25881,0.6831,0.28626,Republican
2020,IDAHO,ID,CARIBOU,16029,3416,2906,431,0.8507,0.12617,Republican
2020,IDAHO,ID,CASSIA,16031,9629,7907,1464,0.82117,0.15204,Republican
2020,IDAHO,ID,CLARK,16033,311,264,41,0.84887,0.13183,Republican
2020,IDAHO,ID,CLEARWATER,16035,4419,3453,877,0.7814,0.19846,Republican
2020,IDAHO,ID,CUSTER,16037,2739,2089,603,0.76269,0.22015,Republican
2020,IDAHO,ID,ELMORE,16039,10205,7246,2601,0.71004,0.25488,Republican
2020,IDAHO,ID,FRANKLIN,16041,6664,5845,657,0.8771,0.09859,Republican
2020,IDAHO,ID,FREMONT,16043,6719,5548,998,0.82572,0.14853,Republican
2020,IDAHO,ID,GEM,16045,9958,7951,1803,0.79845,0.18106,Republican
2020,IDAHO,ID,GOODING,16047,6050,4659,1256,0.77008,0.2076,Republican
2020,IDAHO,ID,IDAHO,16049,9602,7826,1561,0.81504,0.16257,Republican
2020,IDAHO,ID,JEFFERSON,16051,14173,12099,1661,0.85367,0.11719,Republican
2020,IDAHO,ID,JEROME,16053,7812,5734,1893,0.734,0.24232,Republican
2020,IDAHO,ID,KOOTENAI,16055,89467,62837,24312,0.70235,0.27174,Republican
2020,IDAHO,ID,LATAH,16057,20570,9472,10236,0.46048,0.49762,Democrat
2020,IDAHO,ID,LEMHI,16059,4738,3592,1032,0.75813,0.21781,Republican
2020,IDAHO,ID,LEWIS,16061,1870,1489,349,0.79626,0.18663,Republican
2020,IDAHO,ID,LINCOLN,16063,1940,1469,414,0.75722,0.2134,Republican
2020,IDAHO,ID,MADISON,16065,17112,13559,2666,0.79237,0.1558,Republican
2020,IDAHO,ID,MINIDOKA,16067,7993,6265,1550,0.78381,0.19392,Republican
2020,IDAHO,ID,NEZ PERCE,16069,20967,13738,6686,0.65522,0.31888,Republican
2020,IDAHO,ID,ONEIDA,16071,2451,2148,249,0.87638,0.10159,Republican
2020,IDAHO,ID,OWYHEE,16073,4742,3819,816,0.80536,0.17208,Republican
2020,IDAHO,ID,PAYETTE,16075,11293,8862,2161,0.78473,0.19136,Republican
2020,IDAHO,ID,POWER,16077,3074,2116,865,0.68835,0.28139,Republican
2020,IDAHO,ID,SHOSHONE,16079,6049,4216,1693,0.69697,0.27988,Republican
2020,IDAHO,ID,TETON,16081,6347,2858,3318,0.45029,0.52277,Democrat
2020,IDAHO,ID,TWIN FALLS,16083,36501,25897,9391,0.70949,0.25728,Republican
2020,IDAHO,ID,VALLEY,16085,7063,3947,2976,0.55883,0.42135,Republican
2020,IDAHO,ID,WASHINGTON,16087,5344,4154,1073,0.77732,0.20079,Republican
2020,ILLINOIS,IL,ADAMS,17001,33527,24220,8633,0.7224,0.25749,Republican
2020,ILLINOIS,IL,ALEXANDER,17003,2618,1486,1114,0.56761,0.42552,Republican
2020,ILLINOIS,IL,BOND,17005,8145,5625,2288,0.69061,0.28091,Republican
2020,ILLINOIS,IL,BOONE,17007,24979,13883,10542,0.55579,0.42203,Republican
